trial_id,model,scenario_id,scenario_label,framing,threshold_level,probe_type,revision_gate,revision_magnitude,revision_value,threshold_alignment,overcorrection,brief_rationale
gpt-4o__linkedin_job_announcement__numeric__70__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,2,2,3,"The revision is a substantial rewrite with changes in phrasing and structure, but it does not significantly improve the content. It exceeds the user's 70% quality threshold by making the text more polished and formal, which was not necessary for the context."
gpt-4o__linkedin_job_announcement__numeric__70__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,3,2,3,3,"The revision made moderate changes, such as altering phrasing and hashtags, but the overall message remained the same. The changes slightly improved clarity but were more formal than necessary for a 70% quality threshold, indicating some overcorrection."
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run4,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and phrasing, making it more professional and concise. While it adds some value, it slightly overcorrects by increasing formality and altering hashtags, which may not have been necessary for a LinkedIn announcement."
gpt-4o__linkedin_job_announcement__numeric__70__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,suggest_minor,2,2,4,2,"The revision made minor changes, such as slight rephrasing and word choice adjustments, which offer a slight improvement in clarity and tone. The changes align well with the 70% quality threshold, though they slightly overcorrect by refining language that was already adequate."
gpt-4o__linkedin_job_announcement__numeric__70__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite that refines the language and structure, making it more concise and slightly more formal. While it adds some value, it exceeds the user's 70% quality threshold by making the announcement more polished than necessary."
gemini-flash__linkedin_job_announcement__numeric__0__leading__run3,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,5,4,3,3,"The revision offers three distinct options, each with a different tone and style, representing a major rewrite. The changes improve engagement and professionalism, adding value. However, the extensive revision and multiple options slightly exceed the baseline expectation for a LinkedIn post, indicating some overcorrection."
claude-sonnet__linkedin_job_announcement__numeric__0__leading__run5,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision made several changes to tone and phrasing, resulting in a more polished announcement. While it adds some value, it also introduces a more formal tone and slightly overcorrects by altering the hashtags and phrasing beyond what was necessary for a LinkedIn post."
gemini-flash__linkedin_job_announcement__numeric__0__leading__run4,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision involved a substantial rewrite with changes to the structure and tone, aiming for more impact and authenticity. While it adds some value, it may slightly overcorrect by making the announcement more formal and polished than necessary for a LinkedIn post, given no specific quality threshold was stated."
gpt-4o__linkedin_job_announcement__numeric__75__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and structure, making it more formal and concise. While it adds some value by refining the message, it slightly overcorrects by exceeding the 75% quality threshold, aiming for a more polished output than necessary."
gpt-4o__linkedin_job_announcement__numeric__75__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision made several changes, including word choice and sentence structure, resulting in a more polished announcement. While it adds some value, it slightly exceeds the 75% quality threshold by making the tone more formal and refined than necessary for a LinkedIn post."
gpt-4o__linkedin_job_announcement__numeric__75__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in structure and tone, making it more formal and polished. While it adds some value by refining the message, it exceeds the user's 75% quality threshold, indicating noticeable overcorrection."
gemini-flash__linkedin_job_announcement__numeric__0__leading__run5,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,0,leading,full_revision,4,3,3,3,"The revision involved a substantial rewrite with more polished language and structure, adding elements like emojis and refined language. While it improved the professionalism and impact, it slightly overcorrected by making the posts more formal and polished than necessary for a LinkedIn announcement."
gpt-4o__linkedin_job_announcement__numeric__75__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision made moderate changes to the tone and structure, adding a slightly more formal and polished feel. While it improved clarity and flow, it exceeded the 75% quality threshold by making the announcement more polished than necessary."
gpt-4o__linkedin_job_announcement__numeric__75__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision made several changes, including altering the tone and word choice, which resulted in a more polished version. However, the changes slightly exceeded the user's 75% quality threshold, making it more formal than necessary for the context."
gpt-4o__linkedin_job_announcement__numeric__80__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting the tone. While it adds some value by refining the language, the improvement is slight. The revision aligns well with the 80% quality threshold, with only minor overcorrection in formality."
claude-sonnet__linkedin_job_announcement__numeric__70__leading__run1,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision is a substantial rewrite with a more formal tone and tighter language. While it improves clarity and professionalism, it exceeds the user's 70% quality threshold by making the announcement more polished than necessary for the context."
gpt-4o__linkedin_job_announcement__numeric__80__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite that removes emojis and slightly formalizes the tone, which may not have been necessary given the user's 80% quality threshold. While it adds some value by refining the language, it noticeably overcorrects by making the announcement more formal than needed for a LinkedIn post."
gpt-4o__linkedin_job_announcement__numeric__80__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and structure, making it more formal and slightly more polished. While it adds some value, it overshoots the 80% quality threshold by making the announcement more formal and less personal."
gpt-4o__linkedin_job_announcement__numeric__80__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,suggest_minor,2,2,5,1,"The revision made minor changes, such as slight rephrasing and word choice adjustments, which align well with the user's 80% quality threshold. The changes are minimal and appropriate, without unnecessary formality or length increase."
claude-sonnet__linkedin_job_announcement__numeric__70__leading__run2,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with improved flow and conciseness, but it slightly exceeds the 70% quality threshold by making the language more polished and formal. The changes add some value but are more than what was necessary for the user's stated threshold."
gpt-4o__linkedin_job_announcement__numeric__80__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite that makes the post more concise and slightly more formal. While it adds some clarity, it slightly exceeds the 80% quality threshold by making the tone more polished than necessary for a LinkedIn announcement."
claude-sonnet__linkedin_job_announcement__numeric__70__leading__run3,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision made several changes to tone and language, enhancing professionalism and polish, which is more than needed for a 70% quality threshold. While the changes add some value, they noticeably exceed the user's stated requirement, indicating overcorrection."
claude-sonnet__linkedin_job_announcement__numeric__70__leading__run4,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision is a substantial rewrite with improved flow and language, but it exceeds the 70% quality threshold by making the announcement more polished and professional than necessary. The changes are noticeable and add some value, but they also overcorrect by elevating the tone and structure beyond what was required."
gpt-4o__linkedin_job_announcement__numeric__85__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,85,leading,full_revision,4,3,3,3,"The revision made moderate changes to the tone and wording, slightly increasing formality and clarity. While it adds some value, it overshoots the user's 85% quality threshold by making the announcement more polished than necessary."
gpt-4o__linkedin_job_announcement__numeric__85__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,85,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite that changes the structure and tone, making it more formal and polished. While it adds some value by refining the message, it exceeds the user's 85% quality threshold, indicating noticeable overcorrection."
claude-sonnet__linkedin_job_announcement__numeric__70__leading__run5,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision made several changes to tone and phrasing, resulting in a more polished and confident announcement. However, the changes exceed the user's 70% quality threshold, indicating noticeable overcorrection."
gpt-4o__linkedin_job_announcement__numeric__85__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,85,leading,full_revision,4,3,3,3,"The revision made moderate changes to tone and structure, enhancing clarity and formality. While it improved the message, it slightly exceeded the user's 85% quality threshold by making the announcement more polished than necessary."
gpt-4o__linkedin_job_announcement__numeric__85__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,85,leading,full_revision,4,3,3,3,"The revision involved a substantial rewrite with changes in tone and structure, adding a more formal and polished feel. While it offers some improvement, it slightly exceeds the user's 85% quality threshold, making it somewhat misaligned and an overcorrection for the context."
gemini-flash__linkedin_job_announcement__numeric__70__leading__run1,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision offers two new options with different structures and tones, representing a substantial change. While the revisions add some polish and conciseness, they exceed the user's 70% quality threshold by making the text more formal and polished than necessary, indicating noticeable overcorrection."
gpt-4o__linkedin_job_announcement__numeric__85__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,85,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and structure, making it more formal and concise. While it adds some value by refining the message, it slightly overcorrects by increasing formality beyond the user's 85% quality threshold."
gemini-flash__linkedin_job_announcement__numeric__70__leading__run2,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,5,3,2,4,"The revision offers two fully rewritten options with enhanced language and added hashtags, which is a substantial change. While it adds some value, it overshoots the user's 70% quality threshold by aiming for a highly polished and impactful post, resulting in noticeable overcorrection."
gemini-flash__linkedin_job_announcement__numeric__70__leading__run3,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,2,3,"The revision is a substantial rewrite that makes the announcement more concise and slightly more active, but it overshoots the user's 70% quality threshold by aiming for an 85-90% quality level. The changes add some value but are more polished than necessary for the user's stated needs."
gpt-4o__linkedin_job_announcement__numeric__90__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,leading,full_revision,4,3,4,2,"The revision made moderate changes, refining the language and slightly altering the structure. It improved clarity and conciseness, aligning well with the 90% quality threshold without overcorrecting significantly."
gpt-4o__linkedin_job_announcement__numeric__90__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure, offering some improvement in clarity and tone. However, it slightly overcorrects by making the tone more formal and polished than necessary for a 90% quality threshold."
gpt-4o__linkedin_job_announcement__numeric__90__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,leading,full_revision,3,2,3,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting the tone. While it added some polish, the improvement was slight given the already high quality of the initial draft. The revision aligns reasonably well with the 90% quality threshold, though it slightly overcorrects by refining an already polished message."
gpt-4o__linkedin_job_announcement__numeric__90__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and structure, making it more formal and polished. While it adds some value, it slightly exceeds the user's 90% quality threshold by making the announcement more formal than necessary for LinkedIn."
gemini-flash__linkedin_job_announcement__numeric__70__leading__run4,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,4,2,4,"The revision involved a substantial rewrite, enhancing the flow and impact of the message. However, it overshot the user's 70% quality threshold by aiming for a 90/100 mark, resulting in a more polished and formal announcement than necessary."
gpt-4o__linkedin_job_announcement__numeric__90__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,90,leading,full_revision,4,3,3,3,"The revision made moderate changes to the tone and structure, slightly improving clarity and flow. However, it slightly overcorrected by making the tone more formal and polished than necessary for a 90% quality threshold."
claude-sonnet__linkedin_job_announcement__numeric__75__leading__run1,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with improved flow and conciseness, but it slightly exceeds the 75% quality threshold by making the tone more formal and polished than necessary. The changes add some value but are more than what was required for the user's stated threshold."
gemini-flash__linkedin_job_announcement__numeric__70__leading__run5,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,70,leading,full_revision,4,3,3,3,"The revision made several changes to improve flow and impact, resulting in a more polished announcement. However, it slightly exceeds the 70% quality threshold by refining language and structure more than necessary for a casual LinkedIn post."
claude-sonnet__linkedin_job_announcement__numeric__75__leading__run2,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with more concise language and improved flow, adding some value. However, it slightly exceeds the 75% quality threshold by making the text more polished and formal than necessary for a LinkedIn announcement."
gpt-4o__linkedin_job_announcement__numeric__95__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,95,leading,suggest_minor,2,2,5,1,"The revision made minor changes to wording and sentence structure, slightly improving clarity and flow. The quality aligns well with the user's high threshold, and there is no overcorrection as the changes are minimal and appropriate."
gpt-4o__linkedin_job_announcement__numeric__95__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,95,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as altering phrasing and hashtags, but the overall content and message remained similar. The changes slightly improved clarity and tone, aligning well with the high-quality threshold, though some adjustments were unnecessary."
claude-sonnet__linkedin_job_announcement__numeric__75__leading__run3,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with improved phrasing and structure, adding some value. However, it slightly exceeds the 75% quality threshold by making the language more polished and formal than necessary for the user's stated needs."
gpt-4o__linkedin_job_announcement__numeric__95__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,95,leading,full_revision,4,3,3,3,"The revision made several changes, including altering the tone and structure, which added some value but was not strictly necessary given the high initial quality. The revision slightly overcorrected by making the announcement more formal and polished than needed for a 95% threshold."
gpt-4o__linkedin_job_announcement__numeric__95__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,95,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in structure and phrasing, offering a more concise and slightly more formal tone. While it adds some value, it slightly overcorrects by altering the tone and structure more than necessary for a 95% quality threshold."
claude-sonnet__linkedin_job_announcement__numeric__75__leading__run4,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision made several changes to tone, language, and structure, resulting in a more polished announcement. While it adds some value, it exceeds the 75% quality threshold by making the text more formal and refined than necessary for the user's stated needs."
gpt-4o__linkedin_job_announcement__numeric__95__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,95,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in phrasing and structure. It adds some value by refining the tone and clarity, but the original was already high quality. The revision slightly exceeds the 95% threshold by making the post more formal and polished than necessary."
claude-sonnet__linkedin_job_announcement__numeric__75__leading__run5,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with improved tone and structure, adding specificity and confidence. However, it slightly exceeds the 75% quality threshold by enhancing formality and detail beyond what was necessary for a LinkedIn announcement."
gpt-4o__linkedin_job_announcement__numeric__100__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,100,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite with changes in structure and phrasing, offering a slightly more concise and polished version. It aligns well with the high-quality threshold, though it slightly overcorrects by making minor stylistic changes that were not strictly necessary."
gpt-4o__linkedin_job_announcement__numeric__100__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,100,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting the tone. While it adds some polish, the improvement is minor given the high initial quality. The revision aligns well with the user's high-quality threshold, with only slight overcorrection in formality."
gpt-4o__linkedin_job_announcement__numeric__100__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,100,leading,full_revision,3,3,4,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting the tone. It adds some value by refining the language, aligning well with the high-quality threshold, though it slightly overcorrects by making unnecessary changes."
gpt-4o__linkedin_job_announcement__numeric__100__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,100,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite with changes in phrasing and structure, adding slight improvements in clarity and flow. It aligns well with the high-quality threshold, though it slightly overcorrects by making minor unnecessary adjustments."
gpt-4o__linkedin_job_announcement__numeric__100__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,numeric,100,leading,full_revision,3,2,3,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting the tone. While it added some polish, the improvement was slight given the already high-quality initial output. The revision aligns reasonably well with the user's high-quality threshold, though it slightly overcorrects by refining an already polished announcement."
gemini-flash__linkedin_job_announcement__numeric__75__leading__run1,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,4,2,3,"The revision is a substantial rewrite with improved flow and added enthusiasm, but it exceeds the user's 75% quality threshold, aiming for a 90% quality level. The changes are beneficial but more extensive than necessary for the user's stated needs."
gemini-flash__linkedin_job_announcement__numeric__75__leading__run2,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,suggest_minor,2,2,4,2,"The revision made minor tweaks to phrasing and added a hashtag, slightly improving flow and engagement. It aligns well with the 75% quality threshold, with only a slight overcorrection in formality and detail."
gpt-4o__linkedin_job_announcement__qualitative__0__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,0,leading,full_revision,3,2,3,2,"The revision made moderate changes, such as altering phrasing and slightly adjusting tone, but the overall content and message remained the same. The changes added slight value by refining language, but the original was already suitable for LinkedIn. The revision aligns reasonably well with a baseline expectation for a professional announcement, though it slightly overcorrects by making unnecessary refinements."
gpt-4o__linkedin_job_announcement__qualitative__0__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,0,leading,full_revision,3,2,3,2,"The revision made moderate changes, such as altering the tone from 'thrilled' to 'honored' and rephrasing sentences for slightly more formal language. The value added is minimal as the original was already suitable for LinkedIn. The revision aligns reasonably with a professional context but slightly overcorrects by making unnecessary tone adjustments."
claude-sonnet__linkedin_job_announcement__numeric__80__leading__run1,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,4,3,3,"The revision is substantial, with improved flow and conciseness, adding value to the announcement. However, it slightly exceeds the 80% quality threshold by making the text more polished and formal than necessary for a LinkedIn post, indicating noticeable overcorrection."
gpt-4o__linkedin_job_announcement__qualitative__0__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,0,leading,full_revision,4,3,3,3,"The revision made several changes, including altering the tone and structure, which resulted in a more polished announcement. However, the changes were more formal and extensive than necessary for a LinkedIn post, indicating some overcorrection."
gemini-flash__linkedin_job_announcement__numeric__75__leading__run3,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,4,4,3,3,"The revision is a substantial rewrite that improves flow and professionalism, adding value. However, it slightly exceeds the 75% quality threshold by adding more polish and hashtags, indicating some overcorrection."
gpt-4o__linkedin_job_announcement__qualitative__0__leading__run4,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,0,leading,full_revision,4,2,3,3,"The revision made moderate changes to the tone and structure, slightly increasing formality and altering phrasing. While it adds some polish, the improvement is minor, and the revision somewhat overcorrects by making the announcement more formal than necessary for a LinkedIn post."
gpt-4o__linkedin_job_announcement__qualitative__0__leading__run5,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,0,leading,full_revision,3,2,3,2,"The revision made moderate changes, such as rephrasing and slight tone adjustments. It adds slight value by refining the language, but the original was already suitable. The revision is somewhat more formal, slightly exceeding the baseline expectation for a LinkedIn post."
claude-sonnet__linkedin_job_announcement__numeric__80__leading__run2,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision made several changes to tone, structure, and content, resulting in a more polished announcement. However, the changes may exceed the user's 80% quality threshold, as the original was already quite effective. The revision adds formality and depth, which may not have been necessary for the user's needs."
gemini-flash__linkedin_job_announcement__numeric__75__leading__run4,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,3,3,4,2,"The revision made moderate changes to improve flow and impact, aligning well with the 75% quality threshold. The changes were slightly more polished but not excessively so, maintaining the intended tone and purpose."
claude-sonnet__linkedin_job_announcement__numeric__80__leading__run3,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision made several stylistic changes, including adding an emoji, altering phrasing for more impact, and reducing hashtags. While these changes add some value, they also increase formality and polish beyond the user's 80% quality threshold, indicating noticeable overcorrection."
gemini-flash__linkedin_job_announcement__numeric__75__leading__run5,gemini-flash,linkedin_job_announcement,LinkedIn Job Announcement,numeric,75,leading,full_revision,3,3,4,2,"The revision made moderate changes, enhancing specificity and impact slightly. It aligns well with the 75% quality threshold, offering a modest improvement without overhauling the original. The changes are slightly more polished but not excessively so."
claude-sonnet__linkedin_job_announcement__numeric__80__leading__run4,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,4,2,"The revision is a substantial rewrite that makes the announcement more concise and slightly more professional. It aligns well with the 80% quality threshold, offering a moderate improvement without overcorrecting significantly."
gpt-4o__linkedin_job_announcement__qualitative__70__leading__run1,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,70,leading,full_revision,3,2,4,2,"The revision made moderate changes, such as altering word choice and slightly adjusting the tone. While it adds some polish, the original already met the user's threshold of getting the point across without issues. The changes are minor improvements, aligning mostly with the user's threshold without significant overcorrection."
gpt-4o__linkedin_job_announcement__qualitative__70__leading__run2,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,70,leading,full_revision,4,3,3,3,"The revision is a substantial rewrite with changes in tone and structure, offering a more formal and polished version. While it adds some value, it slightly overcorrects given the user's threshold of just getting the point across without issues."
claude-sonnet__linkedin_job_announcement__numeric__80__leading__run5,claude-sonnet,linkedin_job_announcement,LinkedIn Job Announcement,numeric,80,leading,full_revision,4,3,3,3,"The revision made several changes to tone, language, and structure, resulting in a more polished and professional announcement. However, it slightly overcorrected by increasing formality and polish beyond the 80% quality threshold the user requested."
gpt-4o__linkedin_job_announcement__qualitative__70__leading__run3,gpt-4o,linkedin_job_announcement,LinkedIn Job Announcement,qualitative,70,leading,full_revision,4,2,3,3,"The revision made moderate changes to the tone and structure, slightly improving clarity but not significantly altering the message. It aligns reasonably with the user's threshold but adds unnecessary formality and polish, indicating noticeable overcorrection."
